"Country","Year","WCR.med.m3perMWh","WCR.min.m3perMWh","WCR.max.m3perMWh"
"Albania",2010,5.79153826485201,5.79147101458774,5.79164773234672
"Algeria",2010,2.36786247007478,2.20462027827,2.53842308580924
"Angola",2010,15.5333614133786,15.4176236266287,15.7603510261516
"Argentina",2010,24.1972407266944,24.0306772883932,24.4370886984924
"Armenia",2010,26.7372575088214,26.5575023154768,26.9905503697057
"Australia",2010,3.58970852261489,3.411918138068,3.83741843759979
"Austria",2010,6.6762304336253,6.532917435931,6.88076698744376
"Azerbaijan",2010,30.563266791705,30.424971194698,30.7019230621486
"Bahrain",2010,0.021824,0.01724,0.026408
"Bangladesh",2010,20.0233311111601,20.0025202849901,20.0446531535033
"Belarus",2010,0.853887993451784,0.675789999469838,1.03999186334718
"Belgium",2010,1.43484841644938,1.15948431009255,1.85946776028113
"Benin",2010,1.7248,1.3636,2.4332
"Bolivia",2010,20.103955108458,19.9848503408617,20.2355942968895
"Bosnia Herzegovina",2010,3.44897395025461,3.10136545340808,3.97998272740948
"Botswana",2010,1.4672,0.9912,2.3352
"Brazil",2010,52.6593207355757,52.593250514226,52.7719531573345
"Brunei",2010,0.0760789688818565,0.0574365506329114,0.0949500184599156
"Bulgaria",2010,23.251296729623,22.8015296921334,23.9393501827771
"Cambodia",2010,4.07463691272,3.64645701672,4.84568328672
"Cameroon",2010,420.687978004746,420.601886547119,420.845981055593
"Canada",2010,14.7783987327912,14.6072378066948,14.9491504376602
"Chile",2010,2.21487943292326,1.97318221347725,2.62588165998087
"China",2010,2.02025932487963,1.53140159557139,2.79282681826662
"Colombia",2010,4.40257598629069,4.31518549557987,4.53344870791832
"Congo",2010,271.153152135714,271.077798564286,271.233819992857
"Dem. Rep. of the Congo",2010,489.73804070568,489.736151369817,489.740193570955
"Costa Rica",2010,48.2941119376834,47.3294577083189,48.4770394906418
"Côte d'Ivoire",2010,0.367316814752724,0.245803386420788,0.497793998323554
"Croatia",2010,3.74949026017447,3.59364561516038,3.97364872212589
"Cuba",2010,1.96233856760763,1.60415617236707,2.617421824491
"Curaçao",2010,1.71793333333333,1.34633333333333,2.41706666666667
"Cyprus",2010,1.91177145434047,1.4700679744457,2.6744466591507
"Czechia",2010,8.72541949275345,8.20867077792394,9.51924866577419
"Denmark",2010,1.14923734523545,0.792156264488189,1.71331432737739
"Dominican Republic",2010,7.20110198080618,6.88519486671678,7.75413410203891
"Ecuador",2010,27.9780171367041,27.7860648116234,28.3229652529581
"Egypt",2010,46.5565038507793,46.3857730897232,46.7740227423023
"El Salvador",2010,15.0388952055147,12.9472044468249,15.585095698496
"Eritrea",2010,1.71370803858521,1.3548308681672,2.41755241157556
"Estonia",2010,1.77336937711972,1.15611480445696,2.69053813367633
"Ethiopia",2010,39.402228003759,39.3725573542001,39.4102393108961
"Finland",2010,12.9192647395867,12.5897413818754,13.4506272226668
"France",2010,2.65312263606698,2.37924138763034,3.10785470475629
"North Macedonia",2010,2.9906015329146,2.55590636762534,3.65493963208815
"Gabon",2010,232.582721331541,232.475662593175,232.728198270527
"Georgia",2010,60.9933907367957,60.9796864321731,61.0080224219004
"Germany",2010,1.78370364740467,1.40524614469133,2.38887713534984
"Ghana",2010,1057.87739665899,1057.78647390892,1058.03918003659
"Gibraltar",2010,1.92552,1.48064,2.69368
"Greece",2010,2.78239410621602,2.39373751575045,3.39860763562779
"Guatemala",2010,27.8776511361059,27.4206319817148,28.3236436999202
"Haiti",2010,19.7339390791652,19.4614113108518,20.2466765578705
"Honduras",2010,42.8737393958489,42.6567727714615,43.2819433768233
"China, Hong Kong SAR",2010,1.3235798044911,0.875397549170292,1.99531218717274
"Hungary",2010,2.31210554048861,1.95224943548741,2.8424699340023
"Iceland",2010,5.43737284012334,3.44810677763433,5.69920157099854
"India",2010,4.51378479995921,4.16046811970821,4.97355484584708
"Indonesia",2010,1.28417744991391,0.81448541907535,1.38796670837463
"Iran",2010,0.193969668493641,0.186264979411012,0.202369342908452
"Iraq",2010,7.14861437874806,7.1346185997344,7.16468840066676
"Ireland",2010,1.10440338215497,0.8663417308306,1.42507847685395
"Israel",2010,0.0829574866323047,0.06485047475355,0.102733640783042
"Italy",2010,1.93230759238148,1.57731078084485,2.25879674911648
"Jamaica",2010,3.87392092285185,3.50225640896296,4.5731756335
"Japan",2010,5.15593663541412,5.12772513369194,5.16528553935887
"Jordan",2010,0.307031275330581,0.297758022572917,0.317297234050213
"Kazakhstan",2010,78.9648415786511,78.419607550386,79.7672066545169
"Kenya",2010,10.5536755964468,8.94240415438554,10.9882049907541
"Korea",2010,0.166841410596603,0.149739766839146,0.190639112425202
"Dem. People's Rep. of Korea",2010,41.4257143374261,41.1950614184823,41.7927667350443
"Kosovo",2010,1.94758878965944,1.31030937789474,2.92159567820433
"Kuwait",2010,0.0526421507654001,0.0372171484683231,0.070352497010293
"Kyrgyzstan",2010,0.133740684297521,0.0899701289256198,0.198308439669421
"Latvia",2010,7.337801630421,7.25620086989588,7.42250837555455
"Lebanon",2010,3.57971062120927,3.56071474188136,3.60179620623982
"Libya",2010,1.12802761840408,0.861904637877019,1.57765749738927
"Lithuania",2010,3.68734227923117,3.50172448831101,3.92624057110802
"Luxembourg",2010,3.78422346403834,3.66533590141581,3.91240594280113
"Malaysia",2010,2.66839760916449,2.62777067613514,2.70416769318834
"Malta",2010,1.92460915799432,1.47993960264901,2.69240578997162
"Mauritius",2010,20.1553290939383,19.7636987480848,20.8980579894385
"Mexico",2010,8.53656817181819,8.13726455895898,8.88380426299254
"Rep. of Moldova",2010,11.8134467652657,11.654076619722,11.9742083417171
"Mongolia",2010,2.29790939151403,1.69463073582193,3.25517773396708
"Montenegro",2010,4.1903681849826,3.98230035803083,4.50830493286922
"Morocco",2010,25.2538023196518,24.9303397645857,25.8392353886679
"Mozambique",2010,100.930585432539,100.930391384777,100.930800313135
"Myanmar",2010,44.6134336935967,44.6017708856954,44.6237160766008
"Namibia",2010,473.179104735019,473.15821308751,473.217315616245
"Nepal",2010,65.8089325021197,65.8088681910225,65.8090181489402
"Netherlands",2010,0.924911603541155,0.646739179189479,1.31436824625636
"Nicaragua",2010,10.9207025404318,10.0065773149604,11.5429222999289
"Niger",2010,1.52954539249147,1.09289829351536,2.34072354948806
"Nigeria",2010,109.191848693358,109.07119400173,109.312503384985
"Norway",2010,12.613624425564,12.604264102665,12.6249406873128
"New Zealand",2010,6.26981318348712,5.24878995774255,6.4284503218251
"Oman",2010,0.0228825337302588,0.0179261698370251,0.0279173940158434
"Pakistan",2010,2.49210874988054,2.46012532509456,2.53174526491487
"Panama",2010,33.0480745412434,32.87954088013,33.3651560812678
"Paraguay",2010,35.901817444946,35.9018102282109,35.9018310226103
"Peru",2010,34.554818641533,34.4568407708169,34.6884883634611
"Philippines",2010,2.68526522456904,1.53105261865248,2.86878751546686
"Poland",2010,5.70026209755101,5.08731023496324,6.63703892319149
"Portugal",2010,1.15676376943293,0.958185351241024,1.41371833552647
"Qatar",2010,0.021824,0.01724,0.026408
"Romania",2010,60.1797493122567,59.858982723759,60.6619179990177
"Russian Federation",2010,27.2770863075977,27.0173980274516,27.6190271039716
"Saudi Arabia",2010,0.0472153487151504,0.0336993504313379,0.062614262218464
"Senegal",2010,42.2689125880364,41.9435136283485,42.9029086868661
"Serbia",2010,2.9658308834307,2.52954854345747,3.63183582004986
"Singapore",2010,0.113365787306515,0.0837163524554822,0.148204250097012
"Slovakia",2010,37.4600107764484,37.1354440846543,37.9577799773961
"Slovenia",2010,2.76561758044282,2.4159949527056,3.30192673190268
"South Africa",2010,3.59385607348546,3.1374604417275,4.42533513250296
"Spain",2010,1.58791924058306,1.38980020965051,1.88338620387325
"Srilanka",2010,34.4751974870512,34.4427448724785,34.5184165172336
"South Sudan",2010,NA,NA,NA
"Sudan",2010,409.782965604374,409.720493754794,409.905487914015
"Suriname",2010,43.5383934762761,43.4220637082947,43.7572578962297
"Sweden",2010,2.16603224430694,1.98763742243118,2.46530744478086
"Switzerland",2010,6.63919512841733,6.50127517324451,6.87025027056668
"Syria",2010,3.71782225963243,3.70695256071187,3.73007098529119
"Tajikistan",2010,34.9553131602069,34.9549532149681,34.9556731054457
"United Rep. of Tanzania",2010,18.3424207801365,18.2565509280319,18.4424445950777
"Thailand",2010,5.96538054120121,5.93451791958789,5.99367934105327
"Togo",2010,258.069051088268,257.895513658101,258.40939969162
"Trinidad",2010,0.490136287566293,0.32598249263406,0.655262839127873
"Tunisia",2010,2.00298836305888,1.83934228438798,2.17679256535548
"Turkey",2010,7.27866275250597,7.02070326650165,7.61277683000303
"Turkmenistan",2010,0.58536,0.41634,0.75438
"United Arab Emirates",2010,0.02252106818926,0.0176918582187295,0.0274019697937132
"United Kingdom",2010,1.31917845668302,1.00642026252539,1.78313399332412
"Ukraine",2010,29.5158671220116,29.0828270526363,30.1577560549029
"Uruguay",2010,191.488657480837,191.410069961055,191.635463982883
"USA",2010,2.4134838884449,2.0509961794556,2.83180693698056
"Uzbekistan",2010,1.32224910333907,1.15519290247327,1.50649978385855
"Venezuela",2010,51.3090813448786,51.2200067051324,51.4526322572697
"Viet Nam",2010,19.8318695603406,19.6090681862849,20.1418633321602
"Yemen",2010,0.0564364243908728,0.0396759004769885,0.0757640768338275
"Zambia",2010,494.504664808193,494.504215382466,494.505546240046
"Zimbabwe",2010,770.417012445124,770.261135976572,770.701935145643
"Albania",2011,5.74014679704128,5.73298190799332,5.7518095386304
"Algeria",2011,5.33329546984226,5.17105628508512,5.50277363632672
"Angola",2011,16.1328619383295,16.0277809261193,16.3389510552999
"Argentina",2011,27.5261471227706,27.3611483811237,27.7702047790543
"Armenia",2011,22.8528542097497,22.6712640563176,23.100184820786
"Australia",2011,4.29879177995903,4.12838843463557,4.53610297405721
"Austria",2011,6.60064727081428,6.44625852315044,6.82349097418595
"Azerbaijan",2011,22.0708783895141,21.9185275212772,22.2281158843402
"Bahrain",2011,0.021824,0.01724,0.026408
"Bangladesh",2011,22.1389546499039,22.1152246240018,22.1645364207443
"Belarus",2011,0.840253068242236,0.66594597631677,1.01929345581988
"Belgium",2011,1.44248389948748,1.16601612452932,1.87458157039095
"Benin",2011,1.7248,1.3636,2.4332
"Bolivia",2011,20.2869410856191,20.1692533626274,20.4157749221842
"Bosnia Herzegovina",2011,2.82544920038743,2.35835017224607,3.53902371282199
"Botswana",2011,1.48929539748954,1.02314225941423,2.34360585774059
"Brazil",2011,54.2231809784949,54.1613317426785,54.3311783940625
"Brunei",2011,0.0760239127516779,0.0573956979865772,0.0948787463087248
"Bulgaria",2011,14.544578161854,14.0619065070319,15.282691226602
"Cambodia",2011,5.16329489332076,4.74231814426415,5.92114229049057
"Cameroon",2011,432.422711773565,432.342279363032,432.570954852566
"Canada",2011,15.0349865773459,14.8743221517414,15.1957980069999
"Chile",2011,2.08830083548869,1.83585481704485,2.51365684799763
"China",2011,1.97066679878596,1.47116494220481,2.75987228561365
"Colombia",2011,5.02554240369091,4.97203969571615,5.10567858498753
"Congo",2011,275.778114368473,275.720455255172,275.837972496552
"Dem. Rep. of the Congo",2011,489.609028078187,489.607045852589,489.611361943233
"Costa Rica",2011,46.4673716481743,45.4381852812093,46.6723714630645
"Côte d'Ivoire",2011,0.345762124938515,0.22937825873094,0.467667945564847
"Croatia",2011,3.09996674632199,2.87373406365251,3.4277402097881
"Cuba",2011,1.98092825568074,1.61956848541047,2.6441193981357
"Curaçao",2011,1.71806298867925,1.34643494339623,2.41724908679245
"Cyprus",2011,1.87591735496957,1.4424977525355,2.62428905476673
"Czechia",2011,7.12583890543571,6.61551230472924,7.91010767322611
"Denmark",2011,1.06360087790116,0.735649578687445,1.58454500915666
"Dominican Republic",2011,7.22578086804785,6.90809594045614,7.78335465688357
"Ecuador",2011,33.9031064887378,33.7457790354668,34.1855164731615
"Egypt",2011,43.0613350646799,42.8944852444697,43.2663070505
"El Salvador",2011,14.4925805392816,12.4132320533372,15.0510418938764
"Eritrea",2011,1.71456379821958,1.35550741839763,2.41875964391691
"Estonia",2011,1.76899654325603,1.15519545429303,2.68154201133949
"Ethiopia",2011,39.3028850536643,39.2911964169425,39.3082768267139
"Finland",2011,13.5807107557577,13.2648485726582,14.0926348536612
"France",2011,2.36503313725962,2.08665769270125,2.82547405881061
"North Macedonia",2011,2.55714838722888,2.0465911302382,3.33659698909306
"Gabon",2011,204.193977179814,204.075961501225,204.353500354728
"Georgia",2011,51.1159113934079,51.0774786565038,51.1545456017657
"Germany",2011,1.68625062462573,1.31248934672508,2.28337217982026
"Ghana",2011,1037.72036191625,1037.65207216625,1037.81695466625
"Gibraltar",2011,1.92552,1.48064,2.69368
"Greece",2011,2.07112084728531,1.68299127059779,2.6796375496206
"Guatemala",2011,29.1248430893107,28.7030539811761,29.5536568898116
"Haiti",2011,12.2769577195197,11.9554993789083,12.8817538476128
"Honduras",2011,37.2182189822308,36.9820773788553,37.6616013069892
"China, Hong Kong SAR",2011,1.43138862266033,0.942712332233814,2.17594718057686
"Hungary",2011,2.515392336639,2.15360496747272,3.04904903449291
"Iceland",2011,5.57027471966876,3.49392298182668,5.84356135728424
"India",2011,4.65327464055582,4.30140502322715,5.11148463333104
"Indonesia",2011,1.11080768044123,0.667099696584771,1.21523021916447
"Iran",2011,0.234985908976513,0.225971757276048,0.244981046196782
"Iraq",2011,4.64011727797544,4.6258227843851,4.65651969683895
"Ireland",2011,1.06266497582109,0.82908784053672,1.38281783722363
"Israel",2011,0.0820244440638091,0.0632074590442039,0.102653070492309
"Italy",2011,1.84136620261985,1.47397066792182,2.18070456326259
"Jamaica",2011,3.83641067950527,3.46794706521301,4.5296431737792
"Japan",2011,5.49382791778647,5.46617303109443,5.50158014364793
"Jordan",2011,0.303300662784188,0.286697912732983,0.32244085913839
"Kazakhstan",2011,74.1671033240224,73.6191146073707,74.9732683486222
"Kenya",2011,10.2530851473361,8.65975663100797,10.6998766618642
"Korea",2011,0.184910286065171,0.168043744795196,0.208247736713573
"Dem. People's Rep. of Korea",2011,45.788217128888,45.6005663555602,46.0879146709664
"Kosovo",2011,1.90629014252715,1.26083755676607,2.89275367467678
"Kuwait",2011,0.0510447959343509,0.0361817004020398,0.0680747823241729
"Kyrgyzstan",2011,0.112607491753529,0.0758429845626072,0.167084507190922
"Latvia",2011,6.62044045641287,6.52666092900886,6.72010120468986
"Lebanon",2011,3.30575833533761,3.28563159656584,3.32920910466239
"Libya",2011,0.9673803453979,0.726854540559252,1.34735237509135
"Lithuania",2011,3.49631749926172,3.3373802989299,3.69316183356284
"Luxembourg",2011,3.64319854925996,3.51941032536329,3.78047127261841
"Malaysia",2011,3.03213756124386,2.98524727170605,3.07406301879559
"Malta",2011,1.92110164295548,1.47724247820101,2.68749899954107
"Mauritius",2011,11.7355858372757,11.3356133729769,12.4934333656536
"Mexico",2011,7.68783623271766,7.30587278362287,8.03496923847491
