CNTRY_CODE,CNTRY_NAME,MIN,MAX,MEAN,STD
12,Algeria,0.026937138,0.100369466,0.075142934,0.018179856
24,Angola,0.008785425,0.010446385,0.009376426,0.00041993
204,Benin,0.159124523,0.175791992,0.166758381,0.00500929
72,Botswana,0.04507285,0.094079883,0.073448192,0.011191127
854,Burkina Faso,0.146443223,0.156008538,0.15122588,0.004782657
108,Burundi,0.071740433,0.098497423,0.089917642,0.006998158
120,Cameroon,0.159030736,0.233856829,0.191819528,0.015087048
140,Central African Republic,0.174426802,0.193736642,0.185919447,0.004436067
148,Chad,0.014295701,0.136365938,0.094409299,0.041724794
818,Egypt,0.001612232,0.002841765,0.002067128,0.000463977
566,Nigeria,0.073821274,0.243447582,0.188255935,0.032892131
178,Republic of the Congo,0.179993538,0.185611563,0.183196301,0.001620844
180,Democratic Republic of Congo,0.153667284,0.227149387,0.203979038,0.012295762
384,C?te d'Ivoire,0.173256595,0.206004408,0.19502856,0.007391669
231,Ethiopia,0.119721875,0.177107258,0.154983831,0.013961358
266,Gabon,0.184772133,0.203650427,0.193942754,0.006139476
288,Ghana,0.142914957,0.201608386,0.16895581,0.012591408
324,Guinea,0.163505945,0.208166816,0.179554681,0.012016257
624,Guinea-Bissau,0.209316853,0.23049054,0.219324441,0.008682851
404,Kenya,0.050928163,0.094910331,0.071710679,0.013521843
426,Lesotho,0.073986742,0.077038259,0.075968123,0.001402549
430,Liberia,0.205951818,0.238131515,0.219259402,0.008454873
450,Madagascar,0.112086295,0.22324761,0.182761418,0.021716481
454,Malawi,0.142805,0.157988705,0.149009854,0.00570012
466,Mali,0.044972081,0.044972081,0.044972081,0
504,Morocco,0.023987587,0.102657812,0.067671839,0.017158773
508,Mozambique,0.102702579,0.164886052,0.152708458,0.013074072
516,Namibia,0.114019791,0.114019791,0.114019791,0
562,Niger,0.034746888,0.043861448,0.039304168,0.00455728
646,Rwanda,0.148030089,0.155374343,0.151341087,0.002322454
686,Senegal,0.053284666,0.170978771,0.14069527,0.032477114
694,Sierra Leone,0.194049565,0.241816266,0.22374724,0.013331339
706,Somalia,0.028266819,0.099785656,0.080854008,0.021996422
729,Sudan,0.018721107,0.075532912,0.051129054,0.015114629
834,Tanzania,0.137159172,0.175893602,0.160522229,0.009279985
710,South Africa,0.023080624,0.14657189,0.086992965,0.026313467
748,Swaziland,0.095821918,0.139623602,0.1132094,0.016050636
270,Gambia,0.105723928,0.110261645,0.107992787,0.002268859
768,Togo,0.163920907,0.17921422,0.174154329,0.005267196
788,Tunisia,0.02412489,0.085247206,0.045503947,0.016480421
800,Uganda,0.070897838,0.121008704,0.094050822,0.007718913
894,Zambia,0.141116873,0.15519545,0.147775658,0.003464551
716,Zimbabwe,0.062268976,0.140899434,0.100293255,0.014265138
620,Portugal,0.114538181,0.144692856,0.128054562,0.008605095
4,Afghanistan,0.087872129,0.998167231,0.394869126,0.426618529
50,Bangladesh,0.149791453,0.200998281,0.17751751,0.01575923
64,Bhutan,0.073904143,0.22464757,0.14859871,0.039606055
104,Myanmar,0.085321617,0.277167109,0.197630518,0.032303866
116,Cambodia,0.177573938,0.276163386,0.223157804,0.019072932
156,China,0.027247961,3.085077988,0.560270751,0.720176021
699,India,0.058269711,0.27588939,0.190620421,0.056958169
392,Japan,0.149628762,3.291865587,2.395162428,0.527088451
398,Kazakhstan,0.766333115,1.272899316,1.089380934,0.142731945
417,Kyrgyzstan,0.789698901,1.601803252,1.215147231,0.219191629
418,Laos,0.167865055,0.229632209,0.199437135,0.018165774
496,Mongolia,0.570015469,1.168545244,0.809375419,0.153088793
524,Nepal,0.05261529,0.183665752,0.115288499,0.037304977
408,Democratic People's Republic of Korea,1.332932275,2.378164142,1.857421343,0.283753523
586,Pakistan,0.028653054,0.150003258,0.087344065,0.029410055
643,Russian Federation,0.416470774,2.686881132,1.13169971,0.264906852
410,Republic of Korea,2.283885196,2.758728224,2.476087596,0.123177717
144,Sri Lanka,0.182431434,0.269419287,0.226900122,0.021497822
762,Tajikistan,0.08646406,1.344408965,1.09163754,0.332275524
764,Thailand,0.176231171,0.273723379,0.224165606,0.025956982
795,Turkmenistan,0.741121558,0.868768481,0.795167555,0.053914937
860,Uzbekistan,1.140325469,1.170217344,1.152057419,0.013022294
704,Vietnam,0.157218306,0.250653631,0.211029758,0.02103732
8,Albania,0.100693847,2.22886752,0.739274905,0.946141706
51,Armenia,0.597897104,0.597897104,0.597897104,0
40,Austria,0.665069272,2.226338105,1.42692497,0.537862525
31,Azerbaijan,0.913122222,1.768139395,1.342259373,0.349066897
112,Belarus,1.385380039,1.582625459,1.496032718,0.071314377
56,Belgium,0.48118386,1.128843066,0.599561132,0.216899105
70,Bosnia Herzegovina,0.134208068,2.286539786,1.895725052,0.699760091
100,Bulgaria,0.394883411,1.852412148,1.682680319,0.279166018
191,Croatia,0.139168698,2.608956035,2.166540295,0.478168183
196,Cyprus,0.061778703,0.072736722,0.066631814,0.004560321
203,Czechia,1.140449502,1.343567393,1.240385805,0.069201409
208,Denmark,0.883954551,1.908362549,1.369077666,0.370358576
233,Estonia,1.264285039,1.393806172,1.339225315,0.037129427
246,Finland,0.941437847,1.453290186,1.198383528,0.128003904
251,France,0.096732664,2.205224786,1.134745253,0.929711165
268,Georgia,0.161297135,1.660928496,1.184993113,0.408927597
276,Germany,0.538479424,2.146754746,1.374613004,0.421745027
300,Greece,0.102318784,0.126159327,0.115481268,0.009890135
348,Hungary,1.347172861,1.81559333,1.601750635,0.116263808
364,Iran,0.019322492,1.261195381,0.431255526,0.478186818
