short,Biofuels,Coal,Geothermal,Hydro,Natural gas,Nuclear,Oil,Other sources,Solar PV,Solar thermal,Tide,Waste,Wind,Total production
Africa,1704,251984,4204,120636,310343,15026,80484,1573,4018,900,,,10832,801678
Albania,,,,7782,,,,,,,,,,7782
Algeria,,,,218,69693,,970,,87,,,,29,70997
Angola,,,,5815,,,4546,,,,,,,10361
Argentina,1711,2545,,37794,75356,8285,20961,,14,,,,554,147220
Armenia,,,,2351,2581,2380,,,1,,,,2,7315
Asia,64557,1585143,21727,362836,632871,76576,123627,,25627,,,6233,49721,2948918
Australia,3722,163130,0,15318,50410,,5575,,6205,4,,,12199,256563
Austria,4358,3966,0,42939,8499,,995,15,1096,,,1208,5232,68309
Azerbaijan,,,,1959,20170,,2592,,35,,,174,23,24953
Bahrain,,,,,28508,,2,,,,,,,28510
Bangladesh,,1102,,1020,55235,,11384,,165,,,,5,68911
Belarus,147,34,,142,32529,,582,,28,,,29,75,33566
Belgium,4494,2639,,1489,22124,43523,200,512,3092,,,2299,5437,85809
Benin,,,,5,7,,259,,5,,,,,276
Bolivia,294,,,1720,7157,,192,,11,,,,35,9409
Bosnia Herzegovina,,12021,,5641,22,,59,,24,,,,,17767
Botswana,,2680,,,,,6,,2,,,,,2688
Brazil,50642,25745,,380911,56484,15864,15279,391,85,,,,33488,578889
Brunei,,,,,4224,,45,,1,,,,,4270
Bulgaria,353,19364,,4568,2053,15776,318,34,1386,,,,1425,45277
Cambodia,42,2551,,2619,,,379,,3,,,,,5594
Cameroon,3,,,4193,1605,,2148,,12,,,,,7961
Canada,12513,62132,,387208,61438,101143,8040,136,3265,,18,265,30463,666621
Chile,5957,30231,,23274,11845,,2913,,2639,,,,2449,79308
China,64700,4241786,125,1193374,170488,213287,10367,,75256,29,11,11413,237071,6217907
China reg,64807,4266555,125,1193374,183510,213287,10730,,75257,29,11,11413,237073,6256171
Colombia,1460,6210,,49096,15935,,4076,,,,,,51,76828
Congo,,,,1127,1644,,147,,576,,,,,3494
Dem. Rep. of the Congo,22,,,9099,2,,12,,,,,,,9135
Costa Rica,172,,1340,8026,,,193,,3,,,,1147,10881
Côte d'Ivoire,107,,,2047,7891,,9,,,,,,,10054
Croatia,431,2596,,7058,1586,,69,,66,,,,1014,12820
Cuba,686,,,64,2925,,16723,,39,,,,21,20458
